,Team,Year,R,RA
ANA2012,ANA,2012,0.373822976,0.409729949
ARI2012,ARI,2012,0.397046456,0.358078524
ATL2012,ATL,2012,0.397367985,0.41029379
BAL2012,BAL,2012,0.361195716,0.403986941
BOS2012,BOS,2012,0.388300198,0.357044389
CHA2012,CHA,2012,0.382798574,0.386094675
CHN2012,CHN,2012,0.404013856,0.382984434
CIN2012,CIN,2012,0.333058918,0.389774906
CLE2012,CLE,2012,0.390776834,0.336817883
COL2012,COL,2012,0.384247044,0.334082397
DET2012,DET,2012,0.324880952,0.391058728
HOU2012,HOU,2012,0.410425005,0.360232609
KCA2012,KCA,2012,0.340601943,0.376774898
LAN2012,LAN,2012,0.383462217,0.385911037
MIA2012,MIA,2012,0.396936893,0.351937112
MIL2012,MIL,2012,0.364245259,0.360525828
MIN2012,MIN,2012,0.401639633,0.29954594
NYA2012,NYA,2012,0.332965181,0.358394791
NYN2012,NYN,2012,0.373561254,0.406876317
OAK2012,OAK,2012,0.41512555,0.397183446
PHI2012,PHI,2012,0.371453325,0.362962963
PIT2012,PIT,2012,0.401860386,0.377935304
SDN2012,SDN,2012,0.385873585,0.360754651
SEA2012,SEA,2012,0.412902132,0.380013654
SFN2012,SFN,2012,0.354603601,0.407642387
SLN2012,SLN,2012,0.386750087,0.380577941
TBA2012,TBA,2012,0.369263333,0.392119734
TEX2012,TEX,2012,0.370115343,0.398273247
TOR2012,TOR,2012,0.378008828,0.37681091
WAS2012,WAS,2012,0.367778499,0.382870043
ANA2011,ANA,2011,0.387112,0.403262926
ARI2011,ARI,2011,0.342188639,0.376030421
ATL2011,ATL,2011,0.354317136,0.407111519
BAL2011,BAL,2011,0.313350073,0.358455355
BOS2011,BOS,2011,0.398229277,0.375906662
CHA2011,CHA,2011,0.368728055,0.399538349
CHN2011,CHN,2011,0.359667006,0.350627082
CIN2011,CIN,2011,0.359460821,0.349091221
CLE2011,CLE,2011,0.385188692,0.360298895
COL2011,COL,2011,0.398799026,0.33191374
DET2011,DET,2011,0.335985274,0.417982971
FLO2011,FLO,2011,0.371624691,0.364813056
HOU2011,HOU,2011,0.372608652,0.34535331
KCA2011,KCA,2011,0.384491798,0.341806811
LAN2011,LAN,2011,0.417692219,0.401027077
MIL2011,MIL,2011,0.353922378,0.415742848
MIN2011,MIN,2011,0.401972516,0.357057306
NYA2011,NYA,2011,0.352965577,0.360489703
NYN2011,NYN,2011,0.371075346,0.343632491
OAK2011,OAK,2011,0.389922481,0.39761632
PHI2011,PHI,2011,0.381112435,0.406398881
PIT2011,PIT,2011,0.370937057,0.383964489
SDN2011,SDN,2011,0.448514563,0.36635954
SEA2011,SEA,2011,0.412536637,0.383822588
SFN2011,SFN,2011,0.408447044,0.402046222
SLN2011,SLN,2011,0.353815416,0.371600925
TBA2011,TBA,2011,0.388703164,0.390916045
TEX2011,TEX,2011,0.362165696,0.418091456
TOR2011,TOR,2011,0.382408654,0.355485797
WAS2011,WAS,2011,0.374601847,0.385750027
ANA2010,ANA,2010,0.379371295,0.376490451
ARI2010,ARI,2010,0.40080169,0.349178924
ATL2010,ATL,2010,0.387808261,0.379254518
BAL2010,BAL,2010,0.383350452,0.320602343
BOS2010,BOS,2010,0.348893718,0.373373822
CHA2010,CHA,2010,0.34620436,0.385855079
CHN2010,CHN,2010,0.427043345,0.420244016
CIN2010,CIN,2010,0.376337684,0.387305722
CLE2010,CLE,2010,0.385009364,0.349356449
COL2010,COL,2010,0.393265993,0.376181621
DET2010,DET,2010,0.349320248,0.353779306
FLO2010,FLO,2010,0.370447638,0.396017356
HOU2010,HOU,2010,0.374866137,0.396458873
KCA2010,KCA,2010,0.364434948,0.343334064
LAN2010,LAN,2010,0.419429174,0.413615928
MIL2010,MIL,2010,0.401530864,0.359667711
MIN2010,MIN,2010,0.36552838,0.377167019
NYA2010,NYA,2010,0.337861413,0.356424032
NYN2010,NYN,2010,0.370351551,0.432401727
OAK2010,OAK,2010,0.354384299,0.399814618
PHI2010,PHI,2010,0.402164832,0.427844372
PIT2010,PIT,2010,0.408448483,0.347546546
SDN2010,SDN,2010,0.401568737,0.428773294
SEA2010,SEA,2010,0.400681058,0.379107857
SFN2010,SFN,2010,0.414521866,0.415598291
SLN2010,SLN,2010,0.380082528,0.414023228
TBA2010,TBA,2010,0.358311598,0.394119224
TEX2010,TEX,2010,0.353880202,0.365874542
TOR2010,TOR,2010,0.375431281,0.39494302
WAS2010,WAS,2010,0.3962586,0.353565605
ANA2009,ANA,2009,0.34482539,0.396521891
ARI2009,ARI,2009,0.377674897,0.373196299
ATL2009,ATL,2009,0.392130679,0.375888369
BAL2009,BAL,2009,0.377209643,0.329570438
BOS2009,BOS,2009,0.36202296,0.395615732
CHA2009,CHA,2009,0.387763454,0.391924712
CHN2009,CHN,2009,0.395125937,0.370045844
CIN2009,CIN,2009,0.350476033,0.392389393
CLE2009,CLE,2009,0.396571,0.342460572
COL2009,COL,2009,0.351670418,0.378682075
DET2009,DET,2009,0.380979118,0.354642401
FLO2009,FLO,2009,0.332165931,0.325709957
HOU2009,HOU,2009,0.382380047,0.389065256
KCA2009,KCA,2009,0.368318756,0.378742559
LAN2009,LAN,2009,0.373918418,0.357758932
MIL2009,MIL,2009,0.345293701,0.358296357
MIN2009,MIN,2009,0.361467742,0.369894964
NYA2009,NYA,2009,0.309366039,0.399031477
NYN2009,NYN,2009,0.364786296,0.375401602
OAK2009,OAK,2009,0.368459149,0.367328564
PHI2009,PHI,2009,0.357685996,0.351116771
PIT2009,PIT,2009,0.430368374,0.347470238
SDN2009,SDN,2009,0.364661945,0.362174702
SEA2009,SEA,2009,0.35619213,0.380343253
SFN2009,SFN,2009,0.399787662,0.428653695
SLN2009,SLN,2009,0.375741107,0.406663882
TBA2009,TBA,2009,0.370147441,0.337443102
TEX2009,TEX,2009,0.375834593,0.3832666
TOR2009,TOR,2009,0.366347969,0.341011353
WAS2009,WAS,2009,0.368179447,0.317526909
ANA2008,ANA,2008,0.335227801,0.393167074
ARI2008,ARI,2008,0.354269547,0.365386633
ATL2008,ATL,2008,0.39628318,0.350074582
BAL2008,BAL,2008,0.363060158,0.327813079
BOS2008,BOS,2008,0.349467702,0.420855491
CHA2008,CHA,2008,0.388858206,0.379209581
CHN2008,CHN,2008,0.365917396,0.364097632
CIN2008,CIN,2008,0.372369529,0.348950617
CLE2008,CLE,2008,0.368276973,0.387477491
COL2008,COL,2008,0.36702365,0.381484485
DET2008,DET,2008,0.390091878,0.322046473
FLO2008,FLO,2008,0.34619666,0.36607902
HOU2008,HOU,2008,0.33453137,0.399087132
KCA2008,KCA,2008,0.385619339,0.383545945
LAN2008,LAN,2008,0.400763116,0.395434462
MIL2008,MIL,2008,0.319959681,0.370293675
MIN2008,MIN,2008,0.369504244,0.393922675
NYA2008,NYA,2008,0.397463581,0.415040671
NYN2008,NYN,2008,0.343013644,0.375161875
OAK2008,OAK,2008,0.412764648,0.397191466
PHI2008,PHI,2008,0.340783999,0.353418508
PIT2008,PIT,2008,0.373368607,0.343388638
SDN2008,SDN,2008,0.403947904,0.369142266
SEA2008,SEA,2008,0.364878291,0.3336454
SFN2008,SFN,2008,0.37972608,0.389051546
SLN2008,SLN,2008,0.359078591,0.341174968
TBA2008,TBA,2008,0.361453956,0.36358085
TEX2008,TEX,2008,0.367033886,0.358822628
TOR2008,TOR,2008,0.387004184,0.374924104
WAS2008,WAS,2008,0.423697445,0.321445511
ANA2007,ANA,2007,0.371942182,0.38679596
ARI2007,ARI,2007,0.365947389,0.380529727
ATL2007,ATL,2007,0.374638012,0.338125074
BAL2007,BAL,2007,0.318521785,0.375448029
BOS2007,BOS,2007,0.37071805,0.394292319
CHA2007,CHA,2007,0.370058611,0.371010462
CHN2007,CHN,2007,0.339361957,0.394986694
CIN2007,CIN,2007,0.33974268,0.34056272
CLE2007,CLE,2007,0.341313812,0.367783001
COL2007,COL,2007,0.366519174,0.365933783
DET2007,DET,2007,0.357502749,0.357738123
FLO2007,FLO,2007,0.34508517,0.286437766
HOU2007,HOU,2007,0.374118471,0.36280048
KCA2007,KCA,2007,0.405256531,0.353010251
LAN2007,LAN,2007,0.359460821,0.369818466
MIL2007,MIL,2007,0.326004531,0.344342624
MIN2007,MIN,2007,0.398706971,0.381651767
NYA2007,NYA,2007,0.348038495,0.388723433
NYN2007,NYN,2007,0.338339168,0.4021893
OAK2007,OAK,2007,0.386656337,0.364816444
PHI2007,PHI,2007,0.312026936,0.353991528
PIT2007,PIT,2007,0.378316622,0.344219712
SDN2007,SDN,2007,0.376758319,0.412866855
SEA2007,SEA,2007,0.353095749,0.378152856
SFN2007,SFN,2007,0.371626629,0.3489369
SLN2007,SLN,2007,0.4099702,0.388546367
TBA2007,TBA,2007,0.368996874,0.344096568
TEX2007,TEX,2007,0.388571169,0.316614007
TOR2007,TOR,2007,0.357065565,0.364232855
WAS2007,WAS,2007,0.377588832,0.324133201
ANA2006,ANA,2006,0.363278858,0.397355461
ARI2006,ARI,2006,0.345782825,0.365247227
ATL2006,ATL,2006,0.348027454,0.368875086
BAL2006,BAL,2006,0.370820473,0.347883107
BOS2006,BOS,2006,0.344820837,0.337426113
CHA2006,CHA,2006,0.343787336,0.368146904
CHN2006,CHN,2006,0.413183668,0.347085295
CIN2006,CIN,2006,0.384042921,0.343775528
CLE2006,CLE,2006,0.368766851,0.39193584
COL2006,COL,2006,0.397544531,0.358830505
DET2006,DET,2006,0.360710213,0.40847619
FLO2006,FLO,2006,0.376282615,0.37990149
HOU2006,HOU,2006,0.375098681,0.372937379
KCA2006,KCA,2006,0.376836766,0.315959111
LAN2006,LAN,2006,0.357903949,0.382211728
MIL2006,MIL,2006,0.353289362,0.357691225
MIN2006,MIN,2006,0.38060306,0.381930897
NYA2006,NYA,2006,0.35114611,0.360338693
NYN2006,NYN,2006,0.365235201,0.377740864
OAK2006,OAK,2006,0.346808005,0.357643781
PHI2006,PHI,2006,0.333997003,0.325427233
PIT2006,PIT,2006,0.389103286,0.349481853
SDN2006,SDN,2006,0.375447516,0.386611381
SEA2006,SEA,2006,0.376984127,0.365304277
SFN2006,SFN,2006,0.363478927,0.379086406
