Order,Runs Type,Consistency Type,GiniR,GiniRA,R_Game,RA_Game,Fit
1,Ave. RS and RA,Ave. Consistency,0.3787246,0.3785267,4.33065,4.33065,0.0
2,Ave. RS and RA,Top Q-tile RS Consistency,0.362685587,0.3785267,4.33065,4.33065,0.8
3,Ave. RS and RA,Top Q-tile RA Consistency,0.3787246,0.398109,4.33065,4.33065,1.2
4,Ave. RS and RA,Top Q-tile RS & RA Consistency,0.362685587,0.398109,4.33065,4.33065,2.1
1,"Top Q-tile RS, Bot RA",Ave. Consistency,0.3787246,0.3785267,4.626543,4.601852,0.1
2,"Top Q-tile RS, Bot RA",Top Q-tile RS Consistency,0.362685587,0.3785267,4.626543,4.601852,0.9
3,"Top Q-tile RS, Bot RA",Top Q-tile RA Consistency,0.3787246,0.398109,4.626543,4.601852,1.3
4,"Top Q-tile RS, Bot RA",Top Q-tile RS & RA Consistency,0.362685587,0.398109,4.626543,4.601852,2.2
1,"Bot Q-tile RS, Top RA",Ave. Consistency,0.3787246,0.3785267,4.018519,4.006173,-0.2
2,"Bot Q-tile RS, Top RA",Top Q-tile RS Consistency,0.362685587,0.3785267,4.018519,4.006173,0.7
3,"Bot Q-tile RS, Top RA",Top Q-tile RA Consistency,0.3787246,0.398109,4.018519,4.006173,1.1
4,"Bot Q-tile RS, Top RA",Top Q-tile RS & RA Consistency,0.362685587,0.398109,4.018519,4.006173,1.9
1,"Top Q-tile RS, Ave. RA",Ave. Consistency,0.3787246,0.3785267,4.626543,4.33065,-0.6
2,"Top Q-tile RS, Ave. RA",Top Q-tile RS Consistency,0.362685587,0.3785267,4.626543,4.33065,0.3
3,"Top Q-tile RS, Ave. RA",Top Q-tile RA Consistency,0.3787246,0.398109,4.626543,4.33065,0.7
4,"Top Q-tile RS, Ave. RA",Top Q-tile RS & RA Consistency,0.362685587,0.398109,4.626543,4.33065,1.5
1,"Ave. RS, Bot Q-tile RA",Ave. Consistency,0.3787246,0.3785267,4.33065,4.006173,-0.7
2,"Ave. RS, Bot Q-tile RA",Top Q-tile RS Consistency,0.362685587,0.3785267,4.33065,4.006173,0.1
3,"Ave. RS, Bot Q-tile RA",Top Q-tile RA Consistency,0.3787246,0.398109,4.33065,4.006173,0.5
4,"Ave. RS, Bot Q-tile RA",Top Q-tile RS & RA Consistency,0.362685587,0.398109,4.33065,4.006173,1.3
